ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
VFBC,100m,500m,100.0u,0.0p,,4,5,4,4,4,4
VFEC,100m,500m,100.0u,0.0p,,7,8,7,7,7,7
ICBO,,50u,100.0,100.0u,,10,,10,10,10,10
ICEO,,50u,100.0,100.0u,,11,,11,11,11,11
BVCBO,100,,1.0m,300.0,,12,12,,12,12,12
BVCEO,100,,1.0m,300.0,,14,14,,14,14,14
VFBC,,850m,5.0,0.0p,,16,,16,16,16,16
VFEC,,850m,5.0,0.0p,,18,,18,18,18,18
VFBC,,850m,5.0,0.0p,,20,,20,20,20,20
VFEC,,850m,5.0,0.0p,,22,,22,22,22,22
ABSDEL,,15m,16.0,20.0,,24,,24,24,24,24
ABSDEL,,15m,18.0,22.0,,25,,25,25,25,25
BVCBO,100,,16.0m,300.0,,26,26,,26,26,26
BVCEO,100,,16.0m,300.0,,28,28,,28,28,28
ABSDEL,,5,12.0,26.0,,30,,30,30,30,30
ABSDEL,,5,14.0,28.0,,31,,31,31,31,31
IEB,,50u,100.0,100.0u,,32,,32,32,32,32
ICBO,,50u,100.0,100.0u,,33,,33,33,33,33
ICEO,,50u,100.0,100.0u,,34,,34,34,34,34
ABSDEL,,70u,10.0,33.0,,35,,35,35,35,35
ABSDEL,,70u,11.0,34.0,,36,,36,36,36,36
